iter	MultiClass
0	1.05775691
1	1.015157133
2	0.9720535982
3	0.9420200571
4	0.9072278675
5	0.8882950485
6	0.859482997
7	0.8377108839
8	0.8122351037
9	0.7894119776
10	0.7700653565
11	0.752524174
12	0.7285608765
13	0.7079519111
14	0.6884517076
15	0.6781097268
16	0.6573374214
17	0.6384386018
18	0.620894447
19	0.6003747071
20	0.5843929238
21	0.5639233885
22	0.5522932763
23	0.5329568525
24	0.5200132795
25	0.5071236125
26	0.4926599162
27	0.4806248959
28	0.4656751155
29	0.4550215402
30	0.4441581448
31	0.437600491
32	0.4249653286
33	0.4153726161
34	0.4051881254
35	0.3942041844
36	0.3852577383
37	0.3783798151
38	0.3697682284
39	0.3637264101
40	0.3553463772
41	0.3497403467
42	0.3420633903
43	0.3354410824
44	0.332360053
45	0.3252160783
46	0.3205271921
47	0.3146025193
48	0.3067245309
49	0.2991539472
50	0.2948478345
51	0.288002322
52	0.2830952278
53	0.276730656
54	0.271803439
55	0.267210222
56	0.2618755659
57	0.2563648712
58	0.2518584941
59	0.2464357905
60	0.2427126263
61	0.2378565988
62	0.2330735401
63	0.2292170323
64	0.2253182605
65	0.221346019
66	0.2173361482
67	0.2136123667
68	0.2089486206
69	0.2062822901
70	0.2029587839
71	0.1993900996
72	0.1962964055
73	0.1921166138
74	0.1890979134
75	0.1860954022
76	0.1825125522
77	0.1787751577
78	0.1755898378
79	0.1737875728
80	0.170685111
81	0.168023358
82	0.1647414311
83	0.1620868548
84	0.1600328393
85	0.1570558734
86	0.1541436522
87	0.1512191814
88	0.14857619
89	0.1463010338
90	0.1443181178
91	0.1417072517
92	0.1397782653
93	0.1374083545
94	0.1352473628
95	0.1326530905
96	0.1305636114
97	0.1285048674
98	0.1267363211
99	0.1249027751
