iter	Passed	Remaining
0	0	45
1	1	50
2	1	46
3	1	44
4	2	44
5	2	42
6	3	41
7	3	40
8	4	40
9	4	40
10	4	40
11	5	39
12	5	39
13	6	39
14	7	40
15	7	39
16	8	42
17	9	43
18	10	43
19	10	42
20	11	41
21	11	41
22	13	44
23	14	44
24	15	45
25	16	46
26	17	47
27	18	46
28	18	45
29	19	44
30	19	43
31	19	42
32	20	41
33	20	40
34	21	39
35	21	38
36	22	38
37	23	38
38	23	37
39	24	36
40	25	36
41	26	36
42	27	36
43	27	35
44	28	34
45	28	33
46	29	32
47	29	31
48	29	31
49	30	30
50	30	29
51	31	28
52	32	29
53	33	28
54	33	27
55	34	27
56	35	27
57	37	27
58	37	26
59	38	25
60	38	24
61	39	24
62	39	23
63	40	22
64	40	21
65	41	21
66	41	20
67	43	20
68	44	19
69	44	19
70	45	18
71	46	17
72	47	17
73	48	16
74	48	16
75	49	15
76	49	14
77	49	14
78	50	13
79	50	12
80	51	12
81	51	11
82	53	10
83	53	10
84	54	9
85	55	8
86	56	8
87	58	7
88	58	7
89	58	6
90	59	5
91	59	5
92	60	4
93	60	3
94	61	3
95	61	2
96	62	1
97	63	1
98	63	0
99	64	0
